序号,用户名,链接,评分,评分标题,有用数,日期,评论
138,天外飞青,https://www.douban.com/people/63531003/,allstar20 rating,较差,0,2016-06-06,就跟充气娃娃之恋一样，看这种电影时非常别扭，不只是违反常识的问题，还有是不是值得推广不切实际的梦想，并且把它当做喜剧来渲染。在我这里有莫名悲哀的反作用，也许是我内心不够强大，不愿意尝试冒险。也许我太理智，理智到拒绝接受荒谬。
139,Schwarzgrün,https://www.douban.com/people/sangele/,allstar40 rating,推荐,1,2016-06-19,谁说年龄大了就不能恋爱
140,苏白墨,https://www.douban.com/people/47005039/,allstar40 rating,推荐,0,2016-12-03,为片尾曲加一星
141,Trillian,https://www.douban.com/people/triciamcmillian/,allstar30 rating,还行,0,2017-08-24,整部电影就像奶油蛋糕上最甜的一颗樱桃，Bittersweet的结尾让人唏嘘不已。每个人在爱情里都是Doris。但是囤积狂的讨论存在一个问题，怪癖在多大程度上算是一种心理障碍，多大程度上算是个性特质? 传统意义的矫正就是一种正确吗？
142,七小姐Claudia,https://www.douban.com/people/21771687/,allstar30 rating,还行,0,2016-08-27,我觉得自己老了应该比她好不了多少，但是估计会更有尊严一些吧
143,NemoStudio,https://www.douban.com/people/muyuxiaoxiao/,allstar40 rating,推荐,0,2016-06-30,nice
144,沈十六,https://www.douban.com/people/shenshiliu/,allstar20 rating,较差,1,2017-01-05,演技在线，设定本身就不是为了爱情，个人意识觉醒很重要。
145,Orange,https://www.douban.com/people/orange450046/,allstar40 rating,推荐,0,2016-09-07,有喜劇的元素比如黑了一把hipster。。但中間真的看哭了。。。很難說我是同情Doris還是害怕自己老的時候也變成一個寂寞的怪老太太。。。
146,佳宝,https://www.douban.com/people/liaojiafen/,allstar30 rating,还行,0,2017-05-06,你好，少女心。趁着年轻好好谈场恋爱吧。
147,德州小电锯葉子,https://www.douban.com/people/4480540/,allstar30 rating,还行,0,2016-07-29,看到后面电梯口拥吻时一堆人在喊不！不要在一起！！告诉我这是幻想！！！吓人！可怕！哈哈哈哈哈哈还哈哈哈哈，暮年追爱没问题，可一把年纪了却没有恋爱的体验实在心酸，除了老奶奶在脸书上耍的小手段有点让人不舒服之外，少女心的地方都挺好的
148,比海更深,https://www.douban.com/people/twofatttttttt/,allstar40 rating,推荐,0,2016-06-20,每一秒都怕你陷入烂俗的剧情哈
149,小y,https://www.douban.com/people/63993858/,allstar40 rating,推荐,0,2017-03-02,真正的爱情让人学会成长，对于Doris也是，她终于决定丢掉家中的无用旧物，终于决定辞职。感动于Doris的勇气，她此前的人生中没有被珍惜过，希望今后的她依然拥有这份无畏。
150,齐天大剩,https://www.douban.com/people/xingzhesun/,allstar30 rating,还行,0,2016-06-12,还是得承认有两场戏莎莉牛逼啊；关于忘年恋情，嗯，不是这样说的。
151,X,https://www.douban.com/people/jonjon/,allstar50 rating,力荐,1,2016-07-09,一个杯子装满水，就不能再盛更多的水了，要继续装水，唯有将杯子里的水倒空。人生又何尝不是如此，只有将心里的杯子倒空，将曾经的辉煌、失败都在心态上彻底了结清空，才能用崭新的自我去迎接崭新的未来。爱情或许也是如此。多希望几十年后老去的我们也能像她一样，依然相信爱情，保持一份纯真。
152,斯麦岭,https://www.douban.com/people/61317516/,allstar40 rating,推荐,2,2016-11-19,喜欢Doris五颜六虽色的裙子，喜欢假发，喜欢浓浓的妆容，喜欢和这个世界格格不入的感觉……虽然事实上我也就是个普通人，放人堆儿里绝壁看不出来的那一种。嗯……看见某些人感慨不要老，要趁年轻睡男人……呃，是电影太失败了，还是……？？
153,1零一一,https://www.douban.com/people/Mrs.secret/,allstar30 rating,还行,0,2016-07-31,主人公的设定还挺好玩的。
154,Sparky | ✟,https://www.douban.com/people/sparkylee/,allstar40 rating,推荐,0,2016-10-06,一梦。
155,泥巴,https://www.douban.com/people/niba/,allstar30 rating,还行,0,2016-12-19,快进，和日本那个啥 宅女片 有差距
156,冷趴趴趴巫婆,https://www.douban.com/people/may5may/,allstar40 rating,推荐,0,2016-06-12,老女孩寻爱记
157,邱浮,https://www.douban.com/people/reyau/,allstar40 rating,推荐,0,2016-07-13,you re possible
158,马 夋,https://www.douban.com/people/june.q/,allstar40 rating,推荐,0,2016-07-19,那么孤独，那么寂寞，但是打破它，不是迎合他，而是改变自己。至少，不让自己活在记忆里，习惯中。
159,轻风羽,https://www.douban.com/people/87019401/,allstar30 rating,还行,0,2016-06-08,男主是那种很多情的帅，除此而外表演、衣服、场景都太某宝了，质感不行。这片换种不那么温吞的拍法会更好看。
160,sixxis,https://www.douban.com/people/sixxis/,allstar40 rating,推荐,0,2017-06-10,er，明明是很酷的人啊。。。。
161,此心安处是吾乡,https://www.douban.com/people/60504195/,allstar40 rating,推荐,0,2017-07-05,爱情何时来临都不算晚
162,六兔,https://www.douban.com/people/call.mily/,comment-time ,2016-07-30 00:11:36,0,2016-07-30,我原谅了我的花痴病
163,麦呀麦呀麦大娘,https://www.douban.com/people/38175644/,allstar30 rating,还行,0,2016-06-27,这种爱情小品还真是看得人尴尬癌，不过为了年将七十的影后还接了这部片的勇气，三星！跨度三十六岁的两个人接吻真的会引起观众的不适感啊喂~觉得Doris应该去看看对面麻衣，学习扔东西的艺术，收集癖恋物癖并不是这样的，见过很多收藏癖会把自己的东西摆放地井井有条，Doris只是无法舍弃过去面对未来
164,咦，大荔,https://www.douban.com/people/hh0126/,allstar40 rating,推荐,0,2017-03-12,A little worried. 做一个有趣的人呀 从前的Doris为家人活，从今以后要为自己活阿！
165,irvin,https://www.douban.com/people/3173862/,comment-time ,2016-10-17 23:48:25,0,2016-10-17,虽然拉着看的，但是，还不是你自己想陷进去的么？
166,纯黑色、独白,https://www.douban.com/people/69122945/,allstar40 rating,推荐,0,2016-06-06,爱情片里的又一新题材！
167,泰勒TJQ,https://www.douban.com/people/Hjalmar/,allstar40 rating,推荐,0,2016-06-30,烂大街爱情片加上个人心理问题最后好像还不错诶 主要max greenfield太太太太太帅了 每次看见我的少女心都要犯了 演john的性格又这么好难怪doris忍不住。结局有点儿强求 毕竟共同爱好什么的都是建立在谎言和stalk上。max整个人太干净了 他每次笑我都想亲屏幕么么
168,Linsey涤生,https://www.douban.com/people/momoling/,allstar50 rating,力荐,0,2017-12-31,确实很尴尬症，但是莫名其妙很喜欢，台词有些真的击中我无法拯救的笑点（主要是Doris和好朋友之间的），剧中他们一起去的现场Live那个band听起来不错啊！去搜一搜…
169,理想of神殿,https://www.douban.com/people/idealtemple/,allstar40 rating,推荐,1,2016-06-16,7，故事很不错，不过打心底里还是无法接受忘年恋和单方面的爱恋，因此观影途中经常会觉得尴尬，对这个开放性结局也有点抵触。作为一个基佬，刨开年龄差距，跟多蕾丝的境遇有很多相似之处，不过现实中的我没有多蕾丝那么勇敢，那么充满激情。莎莉奶奶给我一种很亲切的感觉，就像自己的亲人一样。
170,清蒸鱼ˉ﹃ˉ,https://www.douban.com/people/kiska/,allstar40 rating,推荐,0,2017-02-02,老奶奶好可爱
171,裸踝,https://www.douban.com/people/luohuai/,allstar30 rating,还行,0,2017-02-25,从来没看过这样子的电影，嗯，想起来里面的小情小趣很有意思，嗯，男人的一半是孩童，女人的一半是少女。
172,哥斯拉,https://www.douban.com/people/2845008/,allstar50 rating,力荐,0,2017-03-07,你看这才叫爱情的力量啊
173,LeonBible,https://www.douban.com/people/36810592/,allstar40 rating,推荐,0,2018-01-09,2018006 关注纽约Cat Lady群体的生活状态，剧本不错，人物设置合理，结局蛮有趣。
174,Cathay,https://www.douban.com/people/59530679/,allstar40 rating,推荐,0,2017-02-03,不好意思，我看哭了
175,你就叫我蕉大吧,https://www.douban.com/people/sport1124/,allstar40 rating,推荐,0,2016-08-15,这辈子看过的最让我内心矛盾的电影，一方面希望女主能有主角光环happy ending，一方面又无法直视他们在一起的样子，导演就很熟练的把大家的矛盾揉在手心玩弄着。不过真的喜欢Doris的心态和勇敢，也许爱情不会让你变好，但你自己绝对可以。
176,S﹫午夜飞行,https://www.douban.com/people/rosabird/,allstar30 rating,还行,1,2016-06-26,别说女主那么大年纪，仅仅过了30的我，已经感觉到年龄带来的满满的恶意。有时，并不需要爱情有什么结果。或者，所谓结果是什么呢？在一起？结婚？生孩？携手一生？这些都和爱情无关呐。爱情就是生的喜悦，是脸上的光彩，是嘴里哼的歌。不论什么时候，都要活出精彩来。
177,フフフナメ,https://www.douban.com/people/hyce/,allstar40 rating,推荐,0,2018-03-07,并不是年龄的问题是外貌的问题……你看看重返二十岁……
178,喵喵鱼,https://www.douban.com/people/122648938/,allstar30 rating,还行,1,2016-07-12,可爱的老太太；小哥笑起来特别暖，特别甜；脑补很精彩，结局有意思！
179,一生所爱,https://www.douban.com/people/newtamato/,allstar40 rating,推荐,0,2017-07-04,没有看完，可能我已经没有少女心了吧
180,E.P.,https://www.douban.com/people/crazyrobot/,allstar40 rating,推荐,0,2016-05-06,你的 我的 他的 少女心🌋 咔嚓碎了一地
181,淫雨,https://www.douban.com/people/54731687/,allstar40 rating,推荐,0,2016-12-03,可爱
182,ztlpoppy,https://www.douban.com/people/ztl-poppy/,allstar30 rating,还行,0,2016-06-26,周末轻松片，看个新鲜图个痛快。美国小清新恋爱片只要是能拍的题材都拍了也是蛮拼的，老太衣服都蛮好看的
183,浮世鸿云,https://www.douban.com/people/kypyy/,allstar30 rating,还行,0,2016-06-12,当正常恋情几无创新的时期，各种畸形的不正常的恋情必然会横空出世。尽管这是一出老套的不能再老套的暗恋故事，当让70岁的莎莉·菲尔德暗恋80后帅哥，现实中的天方夜谭，在影片中表现出来却是好尴尬的看点连连。导演迈克尔·修华特凭借此片在西南偏南赢得最佳观众奖，25家媒体给63分。6.8分
184,聂小欠,https://www.douban.com/people/fcaoer/,allstar40 rating,推荐,0,2016-11-12,CRUSH saves the world
185,三太子,https://www.douban.com/people/KQueen/,allstar30 rating,还行,0,2016-08-31,对于结尾我保持悲观态度
186,紫含,https://www.douban.com/people/readmovie/,allstar30 rating,还行,0,2017-03-06,爱谁尽管是个人自由，但真得有自知之明。幸福（情缘）降临时，千方百计把握住，因为幸福也许只光顾一次。
187,张西西,https://www.douban.com/people/hyper_c/,allstar50 rating,力荐,0,2016-06-16,特别喜欢！铅笔、瑜伽球等小细节太赞，人设也相当精准。
188,frozenmoon,https://www.douban.com/people/1233038/,allstar30 rating,还行,1,2016-06-10,一个寻找 爱情和自我的小品。及格但无聊。
189,B,https://www.douban.com/people/tsebb/,allstar30 rating,还行,0,2016-08-20,你好，我是意淫狂
190,水英俊,https://www.douban.com/people/RemyAnderson/,allstar40 rating,推荐,0,2016-06-12,"60分的故事让沙粒飞阿姨演成了90分的惊喜之作。Doris is weird but in a good way,导演用一个weirdo的爱情告诉人们向前看总没有坏处。"
191,Sailor Meow,https://www.douban.com/people/catvoldemort/,allstar30 rating,还行,0,2017-01-02,真正的尊重老年人做到年龄平等，应该是指出女主做小三这件事
192,Stefanie,https://www.douban.com/people/1342961/,allstar50 rating,力荐,0,2017-11-12,苦
193,咁咁咁,https://www.douban.com/people/young822/,allstar30 rating,还行,0,2016-08-26,三星给我认同要尊重每个不同的人这个理念 其他的都不行
194,么什叫定决能不,https://www.douban.com/people/lauraxue/,allstar30 rating,还行,0,2018-03-10,2.5 昨天看了Laura Terruso的Fits and Starts觉得太好于是找来这部早先几年的编剧作品来看，可惜少女心的奶奶缺少了和13岁的真·少女之间在人生经历上的区别。想要作为一个eccentric的人物来说还是流于大众印象里古怪形象的表面了。
195,胡二,https://www.douban.com/people/hulangbaiyue/,allstar30 rating,还行,0,2016-07-13,为毛要插足人家的感情啊，好差劲。。。整体故事还好，不过为毛年轻的时候不好好爱来爱去呢，老了倒追鲜肉也是累
196,CathShero,https://www.douban.com/people/25314137/,allstar50 rating,力荐,0,2016-08-08,《澄与堇》是童话，本片是寓言。对的它不是现实，因为现实不会有本片的温暖包容，现实里的Doris们未必能等到自我觉醒的那天。有时候我们汲汲以求的并非是某个特定的人，只是那个能让我们追寻更好自己的契机。
197,70年的雪,https://www.douban.com/people/157360118/,allstar30 rating,还行,0,2017-08-28,当有一天我也变得鸡皮鹤发， 到时我是否仍有一颗少女心？ 到时有一颗少女心是喜是悲？
198,小云朵,https://www.douban.com/people/2571322/,allstar30 rating,还行,0,2016-07-18,少女心要和美貌相称才会有好结局
199,字母君,https://www.douban.com/people/78164697/,allstar30 rating,还行,0,2016-07-04,老太版chick flick，内核是一个抛弃过去的成长故事。男主咧嘴笑起来是真好看啊…… 结尾处理得很棒。
200,ofelia11,https://www.douban.com/people/128665149/,allstar30 rating,还行,0,2017-09-09,无关年龄差距，无关女追男，暗恋恍若一场梦，少数幸运儿能美梦成真，难能可贵的是当白日梦清醒后还能有继续前行开始新生活的勇气，多好！
